Długość Geograficzna;Szerokość Geograficzna;ID Słupka;Typ Przystanku
17.02315207;51.08171176;11376;3
17.11683974;51.14506902;29137;3
16.89572297;51.16290433;18708;3
16.91756316;51.15813842;18512;3
17.02153105;51.09422398;11328;3
17.02222742;51.08096990;11236;0
16.89667479;51.16317009;18706;3
17.04001736;51.10114919;20334;3
17.00717329;51.11275480;10506;3
17.06288628;51.11205741;20922;3
17.03288639;51.10743597;10101;3
17.00828924;51.10956762;10543;3
17.00020578;51.08140482;11544;3
17.00266008;51.11435862;10412;0
17.10878688;51.10098890;24507;3
17.09071196;51.10388351;24410;0
17.03264418;51.09712263;11001;0
17.06907505;51.13557577;24146;3
17.06087806;51.11536577;20854;03
16.86252126;51.14275069;18314;3
17.05317017;51.07654639;21137;3
17.05943788;51.04982412;26106;3
16.95854095;51.07211559;17129;3
17.13061327;51.13892645;29304;3
17.04808740;51.10526270;20202;0
17.15718871;51.10156457;24715;3
17.13350760;51.16006249;29540;3
17.02277560;51.17530733;23530;3
17.02023336;51.09006885;11343;3
16.94773920;51.14749239;18516;3
17.00671350;51.07456041;11316;3
16.95826922;51.13248842;12408;0
17.06090705;51.11620810;20853;03
16.86840468;51.14472800;18309;3
16.97697458;51.09058463;11610;0
17.03213387;51.14074741;23016;0
17.08645985;51.11704629;24206;0
17.04481596;51.09004715;21010;03
16.99463489;51.13742811;23203;0
16.87181353;51.14478925;18386;3
17.01249483;51.07363734;11365;3
16.86611126;51.14407170;18392;3
17.02571857;51.06047971;26335;3
16.96884080;51.11014178;12156;3
17.07044450;51.13631426;24145;3
17.04514615;51.09941259;20327;3
16.96855288;51.10914445;12149;3
16.89331065;51.15384926;18738;3
17.02918039;51.09008160;11372;3
16.99448092;51.12142129;12307;3
16.98532848;51.12917181;12317;3
16.95992956;51.11258724;12122;3
17.02259043;51.08151334;11235;0
17.06060873;51.09310936;25002;0
16.99059110;51.12791013;12314;3
17.05288580;51.12279876;20721;3
16.98441134;51.12471323;12304;3
17.05487610;51.12648850;20723;3
16.86353107;51.12479489;18327;3
16.98383051;51.14797411;23308;3
17.10590070;51.16730545;29537;3
16.93637322;51.13792379;18002;0
17.11371681;51.14583872;29121;3
16.99688759;51.09396718;11526;3
17.03728240;51.10368465;10222;03
17.05079812;51.11419934;20931;3
17.12821152;51.14236177;29324;3
17.07204083;51.08519345;25008;03
16.97403940;51.13323407;12712;3
16.94327530;51.10873557;17502;3
17.03285067;51.10702202;10102;3
16.94256247;51.13837957;18111;3
16.96217925;51.07742458;17121;3
17.00060314;51.08951916;11454;0
16.87802906;51.14533453;18011;0
17.03684362;51.12869461;20717;3
16.94895303;51.08708055;17120;3
17.12825847;51.14604468;29133;3
17.01528870;51.11543770;10511;3
16.98943910;51.13235136;12319;3
17.05064579;51.07688832;21027;0
17.09925308;51.10635212;24513;3
16.93954640;51.15331204;18506;3
16.85903016;51.15500963;18356;3
16.88999945;51.14375938;18008;0
17.09740219;51.13647536;24130;3
17.01591361;51.04775359;26345;3
17.00402457;51.11769594;10509;3
17.03666443;51.12813401;20617;0
17.03049651;51.12248945;10603;0
17.00249248;51.09325602;11524;3
16.95744959;51.13277348;12407;0
17.01364505;51.10242083;10245;0
17.09632744;51.10318075;24412;0
17.11121294;51.11546188;24702;3
17.02867193;51.15413748;23523;3
17.14323522;51.10673042;24712;3
17.14095665;51.14468060;29315;3
17.11163430;51.11538525;24701;3
16.84894067;51.13555763;18317;3
16.95817901;51.07854783;17131;3
16.90448911;51.16118037;18703;3
17.04334083;51.10585892;20332;3
17.04513281;51.12436093;20627;03
16.89166728;51.13950551;18145;3
17.12824921;51.15145535;29107;3
